year,title,img,rating_count,gross,genre,rating,runtime,stars,metacritic,description
2018,Incredibles 2,examples/images/2018_incredibles_2.jpg,226170,608580000,"Animation, Action, Adventure",PG,118,7.6,NA,"The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world."
2019,The Lion King,examples/images/2019_the_lion_king.jpg,168828,540080000,"Animation, Adventure, Drama",PG,118,6.9,55,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
2016,Finding Dory,examples/images/2016_finding_dory.jpg,224980,486300000,"Animation, Adventure, Comedy",PG,97,7.3,NA,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
2004,Shrek 2,examples/images/2004_shrek_2.jpg,398797,436470000,"Animation, Adventure, Comedy",PG,93,7.2,NA,Princess Fiona's (Cameron Diaz's) parents invite her and Shrek (Mike Myers) to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.
2019,Toy Story 4,examples/images/2019_toy_story_4.jpg,159927,433030000,"Animation, Adventure, Comedy",G,100,7.8,NA,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
2010,Toy Story 3,examples/images/2010_toy_story_3.jpg,719003,415000000,"Animation, Adventure, Comedy",G,103,8.3,NA,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
2013,Frozen,examples/images/2013_frozen.jpg,545450,400740000,"Animation, Adventure, Comedy",PG,102,7.5,NA,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
2003,Finding Nemo,examples/images/2003_finding_nemo.jpg,903078,380840000,"Animation, Adventure, Comedy",G,100,8.1,NA,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
2016,The Secret Life of Pets,examples/images/2016_the_secret_life_of_pets.jpg,173603,368380000,"Animation, Adventure, Comedy",PG,87,6.5,NA,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
2013,Despicable Me 2,examples/images/2013_despicable_me_2.jpg,355343,368060000,"Animation, Adventure, Comedy",PG,98,7.3,NA,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
2015,Inside Out,examples/images/2015_inside_out.jpg,568186,356460000,"Animation, Adventure, Comedy",PG,95,8.2,NA,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
2016,Zootopia,examples/images/2016_zootopia.jpg,405025,341270000,"Animation, Adventure, Comedy",PG,108,8,NA,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
2015,Minions,examples/images/2015_minions.jpg,202099,336050000,"Animation, Adventure, Comedy",PG,91,6.4,56,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
2007,Shrek the Third,examples/images/2007_shrek_the_third.jpg,266749,320710000,"Animation, Adventure, Comedy",PG,93,6,58,"When his new father-in-law, King Harold falls ill, Shrek is looked at as the heir to the land of Far, Far Away. Not one to give up his beloved swamp, Shrek recruits his friends Donkey and Puss in Boots to install the rebellious Artie as the new king. Princess Fiona, however, rallies a band of royal girlfriends to fend off a coup d'etat by the jilted Prince Charming."
2009,Up,examples/images/2009_up.jpg,883787,293000000,"Animation, Adventure, Comedy",PG,96,8.2,NA,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
2001,"Monsters, Inc.",examples/images/2001_monsters_inc.jpg,772487,289920000,"Animation, Adventure, Comedy",G,92,8,NA,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
2018,Dr. Seuss' The Grinch,examples/images/2018_dr_seuss_the_grinch.jpg,42495,270620000,"Animation, Family, Fantasy",PG,85,6.3,51,A grumpy Grinch (Benedict Cumberbatch) plots to ruin Christmas for the village of Whoville.
2016,Sing,examples/images/2016_sing.jpg,124015,270400000,"Animation, Comedy, Family",PG,108,7.1,59,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."
2013,Monsters University,examples/images/2013_monsters_university.jpg,304801,268490000,"Animation, Adventure, Comedy",G,104,7.3,NA,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends."
2001,Shrek,examples/images/2001_shrek.jpg,584948,267670000.00000003,"Animation, Adventure, Comedy",PG,90,7.8,NA,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
2017,Despicable Me 3,examples/images/2017_despicable_me_3.jpg,102503,264620000,"Animation, Adventure, Comedy",PG,89,6.3,49,"Gru (Steve Carell) meets his long-lost charming, cheerful, and more successful twin brother Dru (Steve Carell), who wants to team up with him for one last criminal heist."
2004,The Incredibles,examples/images/2004_the_incredibles.jpg,627047,261440000,"Animation, Action, Adventure",PG,115,8,NA,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
2014,The Lego Movie,examples/images/2014_the_lego_movie.jpg,313430,257760000,"Animation, Action, Adventure",PG,100,7.8,NA,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
2010,Despicable Me,examples/images/2010_despicable_me.jpg,479866,251510000,"Animation, Comedy, Family",PG,95,7.6,NA,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
2016,Moana,examples/images/2016_moana.jpg,244108,248760000,"Animation, Adventure, Comedy",PG,107,7.6,NA,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
2006,Cars,examples/images/2006_cars.jpg,345908,244080000,"Animation, Comedy, Family",G,117,7.1,NA,"A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
2012,Brave,examples/images/2012_brave.jpg,353733,237280000,"Animation, Adventure, Comedy",PG,93,7.1,NA,"Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
2008,WALLÂ·E,examples/images/2008_walle.jpg,946106,223810000,"Animation, Adventure, Family",G,98,8.4,NA,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
2014,Big Hero 6,examples/images/2014_big_hero_6.jpg,388925,222530000,"Animation, Action, Adventure",PG,102,7.8,NA,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes."
2009,Alvin and the Chipmunks: The Squeakquel,examples/images/2009_alvin_and_the_chipmunks_the_squeakquel.jpg,41161,219610000,"Animation, Comedy, Family",PG,88,4.5,41,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes."
2010,How to Train Your Dragon,examples/images/2010_how_to_train_your_dragon.jpg,634108,217580000,"Animation, Action, Adventure",PG,98,8.1,NA,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
2007,Alvin and the Chipmunks,examples/images/2007_alvin_and_the_chipmunks.jpg,72417,217330000,"Animation, Comedy, Family",PG,92,5.2,NA,Three musical chipmunks are discovered by an aspiring songwriter and wants to become famous by using their amazing singing abilities.
2012,Madagascar 3: Europe's Most Wanted,examples/images/2012_madagascar_3_europes_most_wanted.jpg,153905,216390000,"Animation, Adventure, Comedy",PG,93,6.8,60,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer."
2008,Kung Fu Panda,examples/images/2008_kung_fu_panda.jpg,397649,215430000,"Animation, Action, Adventure",PG,92,7.5,NA,"The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance. However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a novice in martial arts."
2012,The Lorax,examples/images/2012_the_lorax.jpg,93162,214030000,"Animation, Adventure, Comedy",PG,86,6.4,46,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
2017,Coco,examples/images/2017_coco.jpg,321845,209730000,"Animation, Adventure, Family",PG,105,8.4,NA,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
2007,Ratatouille,examples/images/2007_ratatouille.jpg,605624,206450000,"Animation, Adventure, Comedy",G,111,8,NA,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
2018,Ralph Breaks the Internet,examples/images/2018_ralph_breaks_the_internet.jpg,112894,201090000,"Animation, Adventure, Comedy",PG,112,7.1,NA,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure."
2010,Tangled,examples/images/2010_tangled.jpg,383289,200820000,"Animation, Adventure, Comedy",PG,100,7.7,NA,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
2009,Monsters vs. Aliens,examples/images/2009_monsters_vs_aliens.jpg,140663,198350000,"Animation, Action, Comedy",PG,94,6.4,56,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.
2009,Ice Age: Dawn of the Dinosaurs,examples/images/2009_ice_age_dawn_of_the_dinosaurs.jpg,212674,196570000,"Animation, Adventure, Comedy",PG,94,6.9,50,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him."
2006,Ice Age: The Meltdown,examples/images/2006_ice_age_the_meltdown.jpg,244292,195330000,"Animation, Adventure, Comedy",PG,91,6.8,58,"Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths."
2005,Madagascar,examples/images/2005_madagascar.jpg,347194,193600000,"Animation, Adventure, Comedy",PG,86,6.9,57,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild."
2011,Cars 2,examples/images/2011_cars_2.jpg,148179,191450000,"Animation, Adventure, Comedy",G,106,6.1,57,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
2018,Spider-Man: Into the Spider-Verse,examples/images/2018_spiderman_into_the_spiderverse.jpg,297827,190240000,"Animation, Action, Adventure",PG,117,8.4,NA,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities."
2012,Wreck-It Ralph,examples/images/2012_wreckit_ralph.jpg,361112,189420000,"Animation, Adventure, Comedy",PG,101,7.7,NA,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
2013,The Croods,examples/images/2013_the_croods.jpg,182524,187170000,"Animation, Action, Adventure",PG,98,7.2,55,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy."
2004,The Polar Express,examples/images/2004_the_polar_express.jpg,164005,183370000,"Animation, Adventure, Comedy",G,100,6.6,NA,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas."
2007,The Simpsons Movie,examples/images/2007_the_simpsons_movie.jpg,299644,183140000,"Animation, Adventure, Comedy",PG-13,87,7.3,NA,"After Homer deliberately pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the family are declared fugitives."
2008,Madagascar: Escape 2 Africa,examples/images/2008_madagascar_escape_2_africa.jpg,193319,180010000,"Animation, Adventure, Comedy",PG,89,6.6,NA,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride."
